"id","profile_id_1","profile_id_2","created_at","location_score"
15961,3494,3286,2025-02-23 11:39:07.315 +0000,0.16666667
16040,3523,2878,2025-02-23 19:50:38.323 +0000,0.14238106305283646
16040,3523,2878,2025-02-23 19:50:38.323 +0000,0.14238106305283646
16088,3525,1482,2025-02-23 20:28:39.862 +0000,0.2
16105,3536,1027,2025-02-24 00:14:13.583 +0000,0.14353462401358563
16082,3525,1027,2025-02-23 20:27:29.436 +0000,0.2
16198,1232,551,2025-02-24 14:52:56.023 +0000,0.16990434112681163
16046,3523,867,2025-02-23 19:52:52.704 +0000,0.2
16093,3530,1027,2025-02-23 21:40:09.629 +0000,0.2
16042,3523,1020,2025-02-23 19:51:29.345 +0000,0.19776897569419036
16042,3523,1020,2025-02-23 19:51:29.345 +0000,0.19776897569419036
16104,3536,2730,2025-02-24 00:13:54.305 +0000,0.19999999999999993
16283,3296,3391,2025-02-24 20:26:11.807 +0000,0.16666667
16078,3525,1265,2025-02-23 20:27:07.639 +0000,0.2
16216,3558,970,2025-02-24 15:17:29.961 +0000,0.142307470552674
16319,1080,2400,2025-02-25 00:28:17.319 +0000,0.1628331659813793
16336,3558,2359,2025-02-25 04:20:46.328 +0000,0.19999999999999996
16408,2621,1027,2025-02-25 13:15:17.744 +0000,0.1550845026729629
16006,3505,3201,2025-02-23 15:02:54.859 +0000,0.20000000000000007
16032,3493,3294,2025-02-23 19:13:29.534 +0000,0.16666667
16300,2621,2692,2025-02-24 23:23:09.106 +0000,0.19944708725661947
16405,2621,512,2025-02-25 13:14:38.175 +0000,0.12689423020299934
16109,2360,2521,2025-02-24 00:51:41.437 +0000,0.19999999999999996
16146,3552,512,2025-02-24 13:02:32.948 +0000,0.1227986517345685
16209,1232,1283,2025-02-24 14:55:09.771 +0000,0.1999999999999999
16209,1232,1283,2025-02-24 14:55:09.771 +0000,0.1999999999999999
16038,3523,487,2025-02-23 19:50:00.480 +0000,0.19999999999999993
16045,3523,1205,2025-02-23 19:52:17.666 +0000,0.20000000000000007
16065,3525,1325,2025-02-23 20:22:35.136 +0000,0.2
16043,3523,966,2025-02-23 19:51:35.485 +0000,0.19999999999999996
16306,2621,2694,2025-02-24 23:24:33.513 +0000,0.11858669077715073
16074,3525,1531,2025-02-23 20:26:34.841 +0000,0.2
16179,3552,2211,2025-02-24 13:05:14.049 +0000,0.2
16318,1080,1804,2025-02-25 00:26:50.256 +0000,0.19999999999999996
16385,3591,2704,2025-02-25 12:00:51.768 +0000,0.19999999999999996
16409,3276,3523,2025-02-25 13:35:41.125 +0000,0.14168404463462392
16265,3558,2692,2025-02-24 19:25:33.840 +0000,0.19999997795142843
16334,3558,453,2025-02-25 04:19:40.262 +0000,0.2
16386,3591,2692,2025-02-25 12:01:01.776 +0000,0.015410353796107334
16386,3591,2692,2025-02-25 12:01:01.776 +0000,0.015410353796107334
16307,2621,3311,2025-02-24 23:24:59.175 +0000,0.0039487749248873
16284,3296,2207,2025-02-24 20:26:37.357 +0000,0.2
16415,3055,213,2025-02-25 15:54:34.000 +0000,0.19242088308515837
16419,3387,3311,2025-02-25 15:56:16.045 +0000,0.010777351128655813
16430,3598,1580,2025-02-25 18:33:54.917 +0000,0.004323812678736397
16513,3629,2704,2025-02-26 09:25:38.007 +0000,0.0774301067646285
16433,3598,3155,2025-02-25 18:35:18.841 +0000,0.10228909946893855
16580,3621,1621,2025-02-26 20:23:35.528 +0000,0.13133007886575068
16595,3651,2233,2025-02-27 12:06:10.764 +0000,0.19999999999999998
16447,1506,512,2025-02-25 20:33:37.173 +0000,0.05190959018742543
16449,1506,2211,2025-02-25 20:33:42.783 +0000,0.2
16469,3361,2692,2025-02-25 22:58:42.917 +0000,0.003881393178848391
16534,3591,2941,2025-02-26 12:28:16.545 +0000,0.20000000000000007
16570,2154,468,2025-02-26 16:34:49.150 +0000,0.035919103994708296
16474,3361,2175,2025-02-25 22:59:19.036 +0000,0.2
16504,3624,2182,2025-02-26 01:59:20.297 +0000,0.1969850928986033
16485,3599,2549,2025-02-25 23:51:23.175 +0000,0.18486425395398143
16485,3599,2549,2025-02-25 23:51:23.175 +0000,0.18486425395398143
16483,3621,2692,2025-02-25 23:48:44.949 +0000,0.12414478523168555
16582,3621,1873,2025-02-26 20:23:44.539 +0000,0.18341691400229262
16467,3361,2683,2025-02-25 22:58:38.276 +0000,0.031976905075951495
16621,1573,3311,2025-02-27 13:56:21.843 +0000,0.019780356974597582
17047,3006,3747,2025-03-03 23:30:42.816 +0000,0.2
17055,1330,3220,2025-03-04 08:10:08.502 +0000,0.19999999999999996
