id,profile_id_1,profile_id_2,created_at
3886,260,200,2024-12-16 21:14:55.761867 +00:00
3902,260,385,2024-12-16 21:15:57.211910 +00:00
3929,492,488,2024-12-16 23:23:13.846189 +00:00
3933,458,316,2024-12-17 01:21:45.052099 +00:00
3939,495,487,2024-12-17 12:50:38.182441 +00:00
3945,497,396,2024-12-17 15:14:33.358351 +00:00
3950,497,463,2024-12-17 15:15:24.213305 +00:00
3951,468,48,2024-12-17 15:23:08.048356 +00:00
3964,459,411,2024-12-17 19:40:30.644277 +00:00
3981,489,70,2024-12-17 22:12:27.966363 +00:00
3992,505,230,2024-12-18 00:30:18.177606 +00:00
4626,388,436,2024-12-22 22:16:42.228946 +00:00
4673,419,600,2024-12-22 23:29:23.865107 +00:00
4715,213,483,2024-12-23 00:57:22.479039 +00:00
4723,213,495,2024-12-23 00:58:16.646566 +00:00
4772,484,239,2024-12-23 03:29:35.481716 +00:00
4788,588,448,2024-12-23 09:15:51.266515 +00:00
5257,692,217,2024-12-26 11:15:56.924383 +00:00
5272,692,272,2024-12-26 11:21:04.034000 +00:00
5314,692,335,2024-12-26 11:24:12.644475 +00:00
5326,692,550,2024-12-26 11:24:56.468055 +00:00
5462,725,515,2024-12-27 07:32:26.872153 +00:00
5464,726,386,2024-12-27 10:11:23.373661 +00:00
5488,692,230,2024-12-27 12:13:34.798973 +00:00
5497,692,144,2024-12-27 12:14:07.526219 +00:00
5516,728,260,2024-12-27 15:07:03.159602 +00:00
5531,728,469,2024-12-27 15:30:28.673175 +00:00
5535,489,66,2024-12-27 15:36:57.406753 +00:00
5569,735,501,2024-12-27 21:09:50.537176 +00:00
8076,1141,845,2025-01-10 23:44:47.895859 +00:00
5577,735,309,2024-12-27 21:13:47.877127 +00:00
5589,738,196,2024-12-27 21:38:39.282356 +00:00
8109,1150,156,2025-01-11 11:04:36.404273 +00:00
5655,738,148,2024-12-27 21:45:53.293633 +00:00
5673,738,217,2024-12-27 21:53:38.088224 +00:00
6717,845,150,2024-12-31 04:11:45.270469 +00:00
6767,848,386,2024-12-31 10:56:12.642444 +00:00
6778,849,600,2024-12-31 11:47:10.188515 +00:00
6782,850,595,2024-12-31 13:03:17.211537 +00:00
6786,850,818,2024-12-31 13:07:50.200662 +00:00
8152,1072,419,2025-01-11 16:26:17.639157 +00:00
8169,1174,413,2025-01-11 19:28:25.622560 +00:00
8233,1184,418,2025-01-12 09:44:33.607225 +00:00
8264,1194,339,2025-01-12 11:37:56.553474 +00:00
8310,1204,149,2025-01-12 16:29:51.496819 +00:00
8397,213,836,2025-01-13 21:05:59.275173 +00:00
8406,1244,309,2025-01-13 22:46:21.692983 +00:00
8411,1244,921,2025-01-13 22:47:47.366391 +00:00
8445,1257,701,2025-01-14 20:33:28.401083 +00:00
8483,1257,499,2025-01-14 20:36:31.953597 +00:00
187,1,43,2024-12-16 15:57:05.986404 +00:00
188,47,1,2024-12-16 15:57:05.986404 +00:00
189,23,47,2024-12-16 15:57:05.986404 +00:00
190,35,37,2024-12-16 15:57:05.986404 +00:00
191,35,47,2024-12-16 15:57:05.986404 +00:00
195,48,47,2024-12-16 15:57:05.986404 +00:00
197,15,48,2024-12-16 15:57:05.986404 +00:00
203,48,31,2024-12-16 15:57:05.986404 +00:00
207,8,48,2024-12-16 15:57:05.986404 +00:00
213,48,23,2024-12-16 15:57:05.986404 +00:00
228,50,1,2024-12-16 15:57:05.986404 +00:00
233,48,52,2024-12-16 15:57:05.986404 +00:00
234,48,49,2024-12-16 15:57:05.986404 +00:00
236,53,29,2024-12-16 15:57:05.986404 +00:00
