"id","profile_id_1","profile_id_2","created_at"
12111,1893,572,2025-02-05 01:27:50.245 +0000
4788,588,448,2024-12-23 09:15:51.266 +0000
5257,692,217,2024-12-26 11:15:56.924 +0000
5272,692,272,2024-12-26 11:21:04.034 +0000
5314,692,335,2024-12-26 11:24:12.644 +0000
5326,692,550,2024-12-26 11:24:56.468 +0000
5462,725,515,2024-12-27 07:32:26.872 +0000
5464,726,386,2024-12-27 10:11:23.373 +0000
9381,1581,1292,2025-01-23 09:45:01.338 +0000
5488,692,230,2024-12-27 12:13:34.798 +0000
5497,692,144,2024-12-27 12:14:07.526 +0000
5516,728,260,2024-12-27 15:07:03.159 +0000
5531,728,469,2024-12-27 15:30:28.673 +0000
5535,489,66,2024-12-27 15:36:57.406 +0000
5569,735,501,2024-12-27 21:09:50.537 +0000
8076,1141,845,2025-01-10 23:44:47.895 +0000
5577,735,309,2024-12-27 21:13:47.877 +0000
5589,738,196,2024-12-27 21:38:39.282 +0000
8109,1150,156,2025-01-11 11:04:36.404 +0000
5655,738,148,2024-12-27 21:45:53.293 +0000
5673,738,217,2024-12-27 21:53:38.088 +0000
6717,845,150,2024-12-31 04:11:45.270 +0000
9388,1581,1025,2025-01-23 09:52:01.500 +0000
6767,848,386,2024-12-31 10:56:12.642 +0000
6778,849,600,2024-12-31 11:47:10.188 +0000
6782,850,595,2024-12-31 13:03:17.211 +0000
6786,850,818,2024-12-31 13:07:50.200 +0000
8152,1072,419,2025-01-11 16:26:17.639 +0000
8169,1174,413,2025-01-11 19:28:25.622 +0000
9436,1589,1356,2025-01-23 14:56:49.283 +0000
8233,1184,418,2025-01-12 09:44:33.607 +0000
8264,1194,339,2025-01-12 11:37:56.553 +0000
8310,1204,149,2025-01-12 16:29:51.496 +0000
9614,417,1486,2025-01-24 18:16:37.777 +0000
12124,1893,970,2025-02-05 01:30:32.994 +0000
8397,213,836,2025-01-13 21:05:59.275 +0000
8406,1244,309,2025-01-13 22:46:21.692 +0000
8411,1244,921,2025-01-13 22:47:47.366 +0000
8445,1257,701,2025-01-14 20:33:28.401 +0000
8483,1257,499,2025-01-14 20:36:31.953 +0000
12128,1893,1269,2025-02-05 01:31:34.248 +0000
8807,1080,239,2025-01-19 22:07:43.697 +0000
12135,1893,1180,2025-02-05 01:35:09.044 +0000
9071,1490,1022,2025-01-21 17:16:45.785 +0000
9073,1490,1079,2025-01-21 17:18:54.155 +0000
9082,1506,1057,2025-01-21 18:44:06.437 +0000
9215,1163,1050,2025-01-22 08:27:08.448 +0000
9655,1658,970,2025-01-24 18:53:16.043 +0000
9707,850,902,2025-01-25 11:51:15.276 +0000
9727,242,927,2025-01-25 12:14:42.065 +0000
10040,1897,1307,2025-01-27 15:43:05.315 +0000
10070,1904,1369,2025-01-27 18:32:22.608 +0000
10099,1913,448,2025-01-27 20:40:51.894 +0000
10120,1918,656,2025-01-27 21:28:27.261 +0000
10187,553,1609,2025-01-28 10:54:16.649 +0000
10253,1986,1027,2025-01-28 21:24:03.813 +0000
10270,1992,1913,2025-01-28 23:14:30.540 +0000
10288,1992,1236,2025-01-28 23:23:53.745 +0000
10305,1997,417,2025-01-29 02:17:52.054 +0000
10315,1998,1861,2025-01-29 09:04:02.232 +0000
10343,1365,436,2025-01-29 13:11:30.650 +0000
10363,1706,832,2025-01-29 13:12:18.276 +0000
187,1,43,2024-12-16 15:57:05.986 +0000
188,47,1,2024-12-16 15:57:05.986 +0000
189,23,47,2024-12-16 15:57:05.986 +0000
190,35,37,2024-12-16 15:57:05.986 +0000
191,35,47,2024-12-16 15:57:05.986 +0000
195,48,47,2024-12-16 15:57:05.986 +0000
197,15,48,2024-12-16 15:57:05.986 +0000
203,48,31,2024-12-16 15:57:05.986 +0000
207,8,48,2024-12-16 15:57:05.986 +0000
213,48,23,2024-12-16 15:57:05.986 +0000
228,50,1,2024-12-16 15:57:05.986 +0000
233,48,52,2024-12-16 15:57:05.986 +0000
